first_name,last_name,date_of_birth,sender_card_number,receiver_cc_number,transaction_amount,transaction_date,is_fraud
Jacob Salinas,Krista Nolan,2007-05-12,2475480622143887,2529677371753651,74556.99,2022-10-30 04:06:10,0
Lisa Castillo,Ronald Bryan,1959-10-12,2715910999405782,5242998865060315,12784.00,2022-05-20 23:46:49,0
Melanie Gomez,Elizabeth Brown,1914-07-11,5328978080501084,2536338331446248,36781.67,2022-05-23 05:34:45,0
Bradley Evans,Christopher Fisher,2007-10-13,2718649482370361,2276430890454293,86997.56,2022-07-17 19:29:10,0
Trevor Gonzalez,Michael Duncan,1913-04-22,2720731806955949,2513298401142431,64527.42,2022-01-08 09:23:23,0
Julie Ibarra,Christina Sanchez,1955-01-14,2279554728197647,2293374883683535,51779.84,2022-11-21 00:38:09,0
Hector Mitchell,Nicholas Peck,1991-10-21,2256756408773319,2236456887942148,95587.52,2022-07-17 14:37:22,0
Sandra Holder,Gary Morris,2016-08-19,2261160362686034,2413942496659087,60814.68,2022-03-29 00:03:10,0
Todd Russell,Crystal Sullivan,1981-05-09,5233653047597756,5523290762697963,19829.70,2022-02-15 16:27:46,0
Stephen Williams,Cory Morales,1983-03-03,2239015836776374,2230607806173431,2521.84,2022-10-07 05:49:34,0
Jamie Wright,Dennis Jefferson,1970-07-30,2258956001142759,2698249899759126,91913.14,2022-02-04 16:17:04,0
Tammy Douglas,Michael Hall,1959-12-19,2285144683112567,2233925814648963,21235.46,2022-08-07 10:17:46,0
Scott Berry,Jake Watson,2011-10-02,2478533141888676,2720591629935092,19956.65,2022-06-25 17:04:20,0
Christopher Rios,Jacob Miller,1979-07-23,2287577362716471,2461439897465199,29461.42,2022-07-13 05:34:06,0
Brian Whitehead,Meghan Taylor,1934-12-19,2397858313093989,2270932852600827,78064.84,2022-01-22 16:54:30,0
Nicholas Rodriguez,Veronica Keller,1998-04-24,2328982432331486,2706739832383638,77130.94,2022-02-04 20:16:07,0
Robert Ware,Steven Taylor,1927-12-07,2720320488924173,2275860822332657,93979.86,2022-01-14 02:28:27,1
Stephen Buchanan,Antonio Hall,1936-08-29,2235336849737706,2258652896169318,75794.51,2022-08-31 10:50:41,0
Tammy Ramirez,Michael Frye,2019-11-30,2592060912955741,2558046870520850,85196.83,2022-10-20 02:44:06,0
Mary Smith,Matthew Johnson,1935-06-06,2628893058479029,5256386376185982,89111.96,2022-04-07 00:09:34,0
Tina Smith,Lonnie Young,1946-05-14,2656060398759446,2654668140659722,14125.11,2022-03-12 04:02:05,0
William Adams,Jason Coleman,1971-10-30,2720300036978871,5568058469285192,89109.19,2022-10-22 19:57:34,0
Kathy White,Jamie Bryant,1915-03-31,2719027453444680,2720413523134096,74979.25,2022-03-16 13:21:31,0
John Smith,Matthew Brown,1939-11-14,2227868618920923,5326541119478435,86226.72,2022-10-27 14:23:54,0
Mark Reyes,Raymond Moran,1993-10-04,2235552809123634,2233950812021344,33507.25,2022-10-02 18:19:25,0
Thomas Cox,Jennifer Brown,1977-11-10,2242306234372162,2282802885510317,78846.45,2022-08-30 06:51:32,0
Joseph Kim,Stephanie Chavez,1989-12-22,2513163130800362,2286384448998210,83740.54,2022-02-04 08:29:56,0
Richard Curry,Brenda Roberts,2017-12-04,2709787000313827,2273263616828380,70346.67,2022-07-25 11:38:47,0
Jeanette Shea,Jeffrey George,1945-01-02,2255353774089701,2457181988239721,89342.13,2022-06-14 09:35:21,0
Kevin Hayes,Megan Singh,2003-11-15,2246986273874040,2708152824915037,15125.42,2022-08-17 23:28:40,0
